Address,FLAG,g_pagerank,g_in_degree,g_out_degree,g_total_degree,g_clustering,g_kcore
0x8b2d2cae9b5fe465f04e946ff425667abb8a2e4e,0,3.249444479687688e-06,1,4,5,0.0,2
0x0020731604c882cf7bf8c444be97d17b19ea4316,1,1.1596911787332026e-05,12,0,12,0.0,5
0x151e201b90f8790568df0a2399d20521eaef4749,0,6.6257289295247e-06,2,2545,2547,1.301022864175815e-06,6
0x00235134f8335d48cf506b25cc376fc84520588b,0,3.1638484869371734e-06,12,0,12,0.0,4
0x42da8a05cb7ed9a43572b5ba1b8f82a0a6e263dc,0,3.0780257237353998e-06,2,2142,2144,4.483902788987535e-06,6
0x0023a6a2c8316ccfb083a194aa5668bd75891455,0,1.1815699555526982e-05,4,5,9,0.16666666666666666,2
0x0029a9b2ea1e45e32fb6344b117388515858d040,0,1.3538554553328418e-05,3,3,6,0.0,2
0x002a68f53b92cef5ee4e7ce015b78408f20942bb,0,3.0777878737290747e-06,94,8,102,0.0,1
0x002ab919205b134d05d0746e22c7f8000523c660,0,3.1456605221310097e-06,11,0,11,0.0,5
0xa0bb4ba19f578a63fa3f67adaf7bbca15ccadc45,0,4.132126214394291e-05,20,2159,2179,1.2236232708673653e-05,8
0x002b043689ad84008fffab16afc1955f5a3aebde,0,3.09145226362012e-06,1,0,1,0.0,1
0x002bf459dc58584d58886169ea0e80f3ca95ffaf,1,3.0790223856293864e-06,1,2,3,0.0,2
0x002f0c8119c16d310342d869ca8bf6ace34d9c39,1,8.302996935479583e-06,2,1,3,0.0,1
0x0031ebb20a0aaf8c67be012bb3a3483d75269635,0,8.302996935479583e-06,2,57,59,0.0,3
0x693d03170fab0293c2336348697c537ddf78064f,0,6.1737523124034705e-06,2,4,6,0.0,2
0x003300d3d2c46983b9a55b07b9b2ab47d6228111,0,5.6990287829490974e-06,2,0,2,0.0,1
0x0033fd555da940b923a7f6f465cc4d9088724263,0,5.694448776936414e-06,2,2,4,0.0,2
0x0034f7473531239b1799bc7f14ff97d5303a5a93,0,7.423628971642527e-06,8,48,56,0.03260869565217391,13
0x006482de8230af0f8e2918a439c7826fe8642a43,0,4.341524633038522e-06,11,30,41,0.04285714285714286,12
0x0036ed1e6299bb586ac70ebdfa336f06714a9556,0,3.0824830543540685e-06,37,0,37,0.0,3
0x0038ab9bf479faa2997522b3cf9492153ea6b33f,0,1.2585135803965254e-05,9,8,17,0.0,3
0x003b9a44dcc7b59546a8b1c1e7dccd57eb99f07d,0,3.0821176450054245e-06,1,1,2,0.0,2
0x003d8b1e6723960d60367a719fe65e08643a2a80,0,3.1009881980032795e-06,485,0,485,0.0,2
0x003e2b1599587a6c2f38928ea8f874a74fb1bbbc,0,0.00040343171314543376,577,1573,2150,5.376886110831065e-05,7
0x3ff368d3f985902a7c48f247d09d7c32d073645e,0,1.4250539353659976e-05,9,0,9,0.0,3
0x0dca37f52a0439536dc205a5b9c54b44d8ed5744,0,5.227675992906487e-06,18,0,18,0.6666666666666666,3
0x4aa85f5369f1f83c15b730474dff70540f3554c0,0,4.046378454753845e-06,6,0,6,0.3333333333333333,3
0xb0ec67fee8239253cfc2456800b81a43d31bdc42,0,3.5111878088217666e-06,2,0,2,0.0,1
0x1fa74910d11cbb392ee5390cb691e91d738d808b,0,4.155159288256306e-05,12,0,12,0.0,2
0x565bcbe7209daeb5b2448202c2c52a3a0524286d,0,7.441853955587076e-06,8,2117,2125,0.0,2
0x004534ebd59b0b094da701dbfd952ef605470128,0,3.0811600311528227e-06,2,1,3,0.0,2
0x0045eb75acf6e1cb1d9ec41e352a879e2cd50b35,0,3.132883672067774e-06,2083,17,2100,0.0,3
0x00462f4a169c1dc0b9dc428aa37d394c8abf1266,0,3.369080395703648e-06,3,1,4,0.0,2
0x00472c1e4275230354dbe5007a5976053f12610a,0,5.787055941337278e-06,2,4194,4196,0.0,1
0xcd111aa492a9c77a367c36e6d6af8e6f212e0c8e,0,7.994181600314127e-06,4194,0,4194,0.0,1
0x004853f00fab90ab60cf1e609b0b61494b90164c,0,6.879043120795232e-06,3,5,8,0.0,3
0x004e1c2a12ac1d0b70907c702892f397a4769bfb,0,1.5126416802260161e-05,6,9,15,0.0,2
0x004f1cea50b057ad8b6f445e128edbdc9b48902b,0,1.614471626343252e-05,5,1,6,0.0,1
0x005073a74dd37889bebbf9de7550dea7666f625b,0,3.8088862656188653e-06,4,26,30,0.03571428571428571,7
0x8ae4bf2c33a8e667de34b54938b0ccd03eb8cc06,0,0.0017627059594025087,2232,0,2232,0.00019216385368348544,17
0x2fb893dc2ed091ad50df984877bcbcf54c071c13,0,1.0916903378130561e-05,3,70,73,0.0,2
0x005457078e3c355023433874edffc8b254881334,0,3.340308846503651e-06,2,1,3,0.0,1
0x00595d5ec3bb583428a0304b2940a70d7f553aef,0,7.846624717493033e-06,4,7,11,0.1,3
0x00f166114c211b7e71e09bfd5d6ffee8716bc0cb,0,3.15746245213341e-05,33,42,75,0.003864734299516908,3
0x0059782ecd69fb5413c5e1a98b40c28dff061162,0,3.076381844608549e-06,2,1,3,0.0,2
0x0059b14e35dab1b4eee1e2926c7a5660da66f747,1,0.0001865180301939273,86,2,88,0.0,3
0x005b98bb53be9d5789d27aa1c69ec8a789eff9c1,0,5.787055941337278e-06,3,7,10,0.0,3
0x005cb96b96c8fe801f89500df6ee38dc5fa0081f,0,0.0021765378703737783,1002,1137,2139,2.8596593573773495e-06,4
0xb3b2f6603cf1f04e4bdec0d3a1d27ff7593a7cb6,0,6.413984931862809e-05,46,9,55,0.028571428571428574,2
0x45083c507882cb7b638f660762b28e2f1a504f73,0,6.973610451491094e-05,1106,1000,2106,0.044444444444444446,7
0x817b2b744863fe204616cf7c470ff3275d4ee517,0,6.762979541824071e-05,49,124,173,0.008912655971479501,14
0x4b7d44112764c623a299f4b10a535eb08f936e36,0,1.3216855398958951e-05,7,11,18,0.0,4
0x00a87bd6b716f1a50504b8eff2d416de0690070e,0,3.140256903947612e-06,4,7,11,0.0,2
0x0095e1a57555e5d5e9ee041bc5953d1c37729cdc,0,5.68911819307915e-06,4,4,8,0.0,2
0x005d3bffd33b1a012279d25d30f75133584404db,0,8.303595832695045e-06,3,12,15,0.06666666666666667,3
0x9d6588b263ef40fb4f41bf5548a8e792b79e6676,0,9.0881071405791e-06,10,3,13,0.16666666666666666,3
0x00650a784ee109797ba8c05f3496bdbf2b2b7a1c,1,5.6890904928286025e-06,1,1,2,0.0,1
0x006743c8992ca6d54c23fa3a745a4781b3817f0c,0,3.075184050177623e-06,0,6,6,0.0,1
0x0067e167caf808eaa6f642d9232e54ff7bb47c07,0,0.00015610250129044663,133,93,226,0.00023889154323936931,17
0x885a742719faf7ecc5670b16420a9487e9fbf625,0,0.002745604173416014,1944,680,2624,2.0227114804344306e-05,17
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,0,0.0009863338694871908,709,1945,2654,4.1293306355039846e-05,18
0x006aaaff2ff3358bc8453febaba4e236b028df80,0,8.904656816187235e-06,10,30,40,0.025641025641025644,5
0x007174732705604bbbf77038332dc52fd5a5000c,0,0.001806726717419174,1170,952,2122,2.2707094377496364e-06,9
0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444,0,0.002629417997799582,4444,0,4444,4.5803799425162314e-05,9
0x0071763e7e796eeb4c32f083aa4a3ac2f33bf5c0,0,8.498927832496932e-06,4,8,12,0.0,2
0x0071c78d72b78818b0d507c114674a7ce6bc4f18,0,5.6890904928286025e-06,3,1,4,0.0,1
0x00733965a4f189034c4cd0e7d38c877a34ba0b63,0,3.1800830935140997e-06,2,2,4,0.3333333333333333,3
0x3776672c9bb4d9a9674f4f521d64b6aac19bb8f4,0,1.0367913111083675e-05,4,1,5,0.0,2
0x00760b09a77e7a4f6ea7e7fdf17f93f8d898c870,0,1.1887910194598746e-05,1,0,1,0.0,1
0x00761aebf8420f0325f7d3a9161a8bb6a96e550b,0,3.1731494986862982e-06,1,0,1,0.0,1
0xb2930b35844a230f00e51431acae96fe543a0347,0,1.907923734001562e-05,22,8280,8302,0.00032923288737242223,7
0x007a010f85605b7f9ecd0e26a7cfa3987bb3e43f,0,3.0986874584950337e-06,12,11,23,0.0,2
0xabbb6bebfa05aa13e908eaa492bd7a8343760477,0,0.0014807851958571836,15647,0,15647,0.0,7
0x007bb0518b03f1a8c00e9bb545640800d1e91444,0,3.177341779194538e-06,8,12,20,0.0,4
0xa74476443119a942de498590fe1f2454d7d4ac0d,0,0.002603912204047129,6800,0,6800,0.00024771556017495993,17
0x007cafba4edd0e25a664530e3cac0ffadb101fd8,0,1.6206004267442255e-05,15,3,18,0.022222222222222223,2
0x0080214c803a073c18aaadd7b99cfd08c3945b09,0,8.400962383988257e-06,3,4,7,0.047619047619047616,3
0x0080359f18daa3f2906e347a589ffd49c07c6258,0,3.2243425409868577e-06,2070,30,2100,0.0,1
0x0083704ad2f3e9f58e71593459462875255b7bd2,0,8.667069486039542e-06,6,90,96,0.0,5
0x0084515449b037205a33d6d3940a5684126aa4b5,1,1.2013888245657426e-05,8,0,8,0.0,3
0x07920356975798037f26a934db461c7aafc8aa05,1,1.3358964696181568e-05,11,7,18,0.06666666666666667,2
0x00893fa05c19ce3895d0d5577db0ddb02d5cbd47,0,6.850463647000892e-06,2,2,4,0.0,2
0x008f3db10374099a11ec263415cb88c952abeedc,1,1.353080982078154e-05,5,4,9,0.0,1
0x832ccd3d6fd1c29bc2c0f05500beddef25c8938b,0,1.9775398354014417e-05,18,41,59,0.0,7
0x009663d80363fa044763ef5331280081c95c94be,0,3.895139591685538e-06,2,0,2,0.0,1
0x009f93582e0c195ac9d3f2b9c1f31cf44e2e9561,0,5.6890904928286025e-06,1,2,3,0.0,1
0x00eb6f5199cd0b671da371969b1a0f948e982fea,1,1.379418580485298e-05,16,0,16,0.0,8
0x3247c7e879ac2682ef02b2b987781570b86c4fd5,0,5.74011257005277e-06,3,3,6,0.0,2
0x00a4862d4407296f92005eff2f51fa5cbb3c6077,0,6.06803966455453e-06,2,6,8,0.0,2
0xcd696956340e9b50c9bf409d5ed8144a9881a629,0,4.822907245395134e-06,2,3,5,0.0,2
0x6c9c63cf0f1eef688af2a39da766f071afa94ffb,0,6.754891787122974e-06,5,4,9,0.0,2
0x011b1cd5eaebc4d52bd2a6c928d45d93af642a58,0,6.330394599217011e-06,3,2,5,0.0,2
0x00a527d60d31b337d571acd17dca172003636356,0,2.4313819166749392e-05,20,16,36,0.0,3
0x00a742825749d9a1b3e2455362ac4e81dc01162c,0,6.7362921414224555e-06,5,5,10,0.13333333333333333,4
0x027beefcbad782faf69fad12dee97ed894c68549,0,0.00043179631146793914,1867,779,2646,0.003399378399378399,9
0x00adb936b9636ccc4211533c7f1a0d2c53466b85,0,2.3879003001142516e-05,42,87,129,0.004524886877828055,16
0x00ae0c1fd293038c2b24a715e6fabacda6012b55,0,9.271288909230681e-06,9,14,23,0.022222222222222223,2
0x00af29056355cbe37df9724436eef327f5f88157,0,7.0896009271551285e-06,7,17,24,0.022222222222222223,7
0xace62f87abe9f4ee9fd6e115d91548df24ca0943,0,0.003467035263628447,2266,0,2266,6.0483605874798936e-05,17
0x00bd1bba3519746a5b7d0bede063f14d48dfdf2b,0,1.547855390174956e-05,5,13,18,0.0,5
0xb50d99def3c5b5d0b769a45d7adb93f1c8507013,0,6.8292352109059706e-06,2,1,3,0.0,2
0x6f0b157221c6aae8078a06518ea373fa63c40737,0,5.099302637329489e-06,2,0,2,0.0,1
0x00bd9fd57c423a1b1c969823d409156d90974d77,0,2.4527542641374723e-05,19,992,1011,0.0,4
0x38320a1d6a9ceaef0e3e2a78fdaba86eebcf4c8b,0,3.1172171373654627e-06,2,0,2,0.0,1
0x40ae141d7d8ac273c8e32bd8bc18010c6dff2af4,0,3.1172171373654627e-06,2,0,2,0.0,1
0x4f355f667a0e426fc0bcf9ca1215c38649d52287,0,3.1172171373654627e-06,2,0,2,0.0,1
0x8991353cb636194b1e9417433ca3edd22e4ad5a5,0,3.1172171373654627e-06,2,0,2,0.0,1
0x29593d35e4e84a90c803a45090760b3176108cfd,0,3.1172171373654627e-06,2,0,2,0.0,1
0x6ba6f2207e343923ba692e5cae646fb0f566db8d,0,0.0004001677489336041,2643,0,2643,0.00033085194375516956,4
0x00bf8ef866b3d8139c982961f6850fadc17f1d48,0,1.3219728997233039e-05,19,60,79,0.005681818181818182,14
0xa193c943980a9340f306b3d59deb183dc501b35f,0,0.0005969414237513197,327,1844,2171,2.037984903234909e-05,10
0x00bfc8d9cbcfc8601db95cded379ef7a4a5e0f5e,0,6.549450070235426e-06,3,11,14,0.0,3
0x667088b212ce3d06a1b553a7221e1fd19000d9af,0,0.00015604256659148535,3384,0,3384,0.0045045045045045045,15
0x00c2abd0ab9fc13fbc8baac19dc30aec31704d4e,0,2.4058347357636624e-05,26,30,56,0.023809523809523808,10
0x937c91331ab21963b66577c913fbd4cd7de475f5,0,8.5218785707248e-06,22,18,40,0.3333333333333333,3
0x00c316e5099530e7af8e5bfade517b395acf8639,0,3.1543933363185617e-06,1,4,5,0.0,1
0x00c481dd22fba34f7dac2d46f0c1172c7abb9f0e,0,4.205664145860493e-06,23,0,23,0.0,3
0x00c6b386f92e1841c3a9dde2bf97a8950f0b0c31,0,6.981899350713675e-06,8,40,48,0.0,3
0x00c8a33b90a749f7433e08e5d4c7034e405a94b4,0,3.0805423342854345e-06,1,0,1,0.0,1
0x00ca022d429d853c3f28070b410b13bc4438926b,0,5.6890904928286025e-06,1,0,1,0.0,1
0x00cb28b1d4437357fdb57967e21be18c415ca05e,0,3.1731494986862982e-06,1,2,3,1.0,2
0x00cb985681dd0cf13cff257a7324d97ea1e3ff32,0,2.886486439863252e-05,33,62,95,0.0196078431372549,7
0xab5c66752a9e8167967685f1450532fb96d5d24f,0,0.0014206834116629876,344,1912,2256,0.00014429799767933118,14
0x1dfc63e0ad14382e5dd16d50b4d88e7409d114fd,0,6.236268241490207e-06,3,6,9,0.0,2
0x00cbdec4dd1b322810683c0e977d4fa237fecf7e,0,6.017662673624047e-06,3,2,5,0.0,2
0x941e19f3a017e6b82c67e61d4f771cece6f23814,0,5.53193390599623e-06,3,4,7,0.0,2
0xc63736f75f7a14fff5c33885546abc39d6665f53,0,8.190197322758062e-06,2,1,3,0.0,2
0x6f2acc0b86729d3983087633a852abf9c1470a56,0,7.506151055779018e-06,7,12,19,0.027777777777777776,5
0x00cd7d76d3e93819c19fd7296386b816234b489e,0,4.1385554497463175e-06,2,0,2,0.0,1
0x00ce20fbdedc38fb559728265edbb26b63fbb377,0,6.346214595371805e-06,12,12,24,0.06666666666666667,5
0x75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,0,0.0015516360887689032,3508,759,4267,4.2751236385188636e-05,13
0x0c5437b0b6906321cca17af681d59baf60afe7d6,0,0.0013661649083637126,1697,1772,3469,0.00024204702627939143,7
0x00cfdefb1e800e4743288734adc727fae6659f74,0,3.1731494986862982e-06,1,2,3,0.0,1
0x00d07f8c2194f14c8d694680f2b8c0be66d4d5e9,1,5.6890904928286025e-06,1,0,1,0.0,1
0x00d4a560da94790c8d508a7edda6465d7a3e9a49,0,1.375667392383194e-05,3,7,10,0.0,2
0x87b482688fcd4459db6f4d7f432b0b2fe3014875,0,6.4160905745321884e-06,2,1,3,0.0,1
0x00d8a10e21f443758240eed09897cef08314618d,0,8.672202207822836e-06,10,2,12,0.16666666666666666,3
0x00da8417b2c53b1fac15fafddf9854285959e9b6,0,3.078175121601745e-06,1,0,1,0.0,1
0xc2c3cbfc9e81ce3127f43d0c0daa96cefc882593,0,5.269832519478332e-06,2,3,5,0.0,2
0x00df7c16597385f31dfc87d1e103eaab28fc0f8d,0,7.133130890400813e-06,2,4,6,0.0,2
0xac04bbb75f5c0d742de5daf530510080bba1a470,0,6.034888532637638e-06,2,2,4,0.0,2
0xb2739b3f17273dc6812d3dd2be03457785031ecd,0,7.718673651566072e-06,4,0,4,0.0,2
0x00e01a648ff41346cdeb873182383333d2184dd1,1,5.5360435264076394e-05,21,4,25,0.0,1
0x00e40876d147fdc499afa3f5a49cf6fe6256f196,0,3.143971061826333e-06,1,1,2,0.0,1
0x47e0cdbea4da809a68e3b60d30634d25e1b63640,0,4.904918560033309e-06,2,4,6,0.0,2
0x00e87b69cf3686e028f96d14cd79ec30983e0f53,0,1.0859623367398162e-05,5,54,59,0.0,9
0x00eb6923331d35ba68b9e36ff99d0c035ffed9e5,0,9.059970162544195e-06,3,2,5,0.3333333333333333,2
0x7bdb94a85019108228d325a8c55cf0815b0a4400,0,6.435047428415788e-06,5,5,10,0.07142857142857142,3
0x4a870e2c2bed01331247d01de3c911e23f6c0150,0,6.477971022532126e-06,2,4,6,0.0,2
0x00f3c39b641a3533b95dd30b4f5b3a87ba9044ca,0,5.323055040016026e-06,2,1,3,0.0,2
0x00f8513a3819c085ba1d3cd84a15c5df45b7ee35,0,3.1458301702492708e-06,1,1,2,0.0,1
0x00f8de11eada0ce48200cd7f2214082954a9fe44,0,8.139319186121393e-06,2,5,7,0.0,3
0x010c41f9ada72d7993973ee274c6cc93a309f805,0,6.581552835390865e-06,2,0,2,0.0,1
0x9864ed977412509ad1b5f4e369b06aa143f9f64c,0,3.1498670913962224e-06,1,3,4,0.0,2
0xa65faf96f9e7efb0a91d147e534131153b4f9c9b,0,7.22791832509304e-06,2,4,6,0.0,2
0x011bed5908623f6adfcd54872ed88e0dc713a1bf,0,3.179740307883662e-06,1,1,2,0.0,1
0x0120a41636716d5717e92a2a960580a0961df73f,0,5.6890904928286025e-06,1,3,4,0.0,2
0x9c7ccecd992d43c6215c3e87424687c447d8beb5,0,1.0047112751516849e-05,6,0,6,0.0,2
0x012dbb1d6e6aaae7a0bf5f610a5fb44e308bb433,0,5.25343941905344e-06,2,3,5,0.0,2
0x012ef110b256b0e6b80aea1478d74b1b4a1eabb9,0,5.6890904928286025e-06,2,1,3,0.0,2
0x01390fbe18c3c5ae9f91b13ade67d19bce75c5e1,0,3.0850378106291742e-06,68,0,68,0.0,2
0x0153775362c3071c1860e8dbfd53ccc82fa226f5,1,3.082465126619548e-06,1,0,1,0.0,1
0x0155a63bc4cb378cb9b4dc10c8e777943bba9c2a,0,0.0001419568898533245,160,106,266,0.047619047619047616,6
0x3b0e20b3bea1fd1e24dfbbc9d3fcafd30fde8ff8,0,0.0014490230442885125,2389,12,2401,5.003283404734357e-05,7
0x015f17e2851ea392351b7f259e4cfd03dc443cef,1,5.6890904928286025e-06,1,0,1,0.0,1
0x4f1872383be22878af5d4795b69be61b35ec5d10,1,7.910910969081936e-06,1,1,2,0.0,1
0x015fca1d09287823e634ae51237ee1eeff03d9d5,1,9.81539682781587e-06,2,0,2,0.0,1
0x0160cf072f092a70e8def0537b8329350282a8d4,0,3.0762643599489696e-06,39,6,45,0.0,2
0x7fdfaa3154d3cb82e90f5fde8c52a95d66211705,1,6.51962814704711e-06,1,1,2,0.0,2
0x0167409e6106ec3e3f05a09fcf04606918d21ad5,1,8.990283181260663e-06,2,7,9,0.0,2
0x016cd40242a3b50902c84088092ef87c85d782b3,0,1.2136124593075171e-05,49,38,87,0.014112903225806451,16
0x48c80f1f4d53d5951e5d5438b54cba84f29f32a5,0,0.0020723336559729535,3417,0,3417,8.9123911945575e-06,16
0x607f4c5bb672230e8672085532f7e901544a7375,0,0.0014322951681493552,2226,0,2226,0.00023499727897887497,17
0x57b174839cbd0a503b9dfcb655e4f4b1b47b3296,0,0.003318098286256172,1276,864,2140,7.778842326755459e-06,6
0x016d12db5620e094868f95b9c6fd2057032b7446,0,9.603849659709443e-06,2,9,11,0.0,1
0x016e0ddc9631f662539fb1882458e5df00791565,0,1.0822058538946808e-05,389,186,575,0.0010193679918450561,5
0x31a9b3a25f297ba8ef54cecabbff5e777d506645,0,0.0010240808905918849,1038,1096,2134,4.504280251575906e-05,10
0x5d807e7f124ec2103a59c5249187f772c0b8d6b2,0,0.003457551818155246,1512,600,2112,4.871454494525703e-06,6
0x75b6deff7047f3eaea8a30d017b24e689e8e3a5a,0,0.0015134729809392394,846,818,1664,1.1946194340689534e-05,11
0x016f855e1d3a7737f7da894b1dd6e86a3353225d,0,2.7747179410336875e-05,16,19,35,0.0,7
0x1c3f580daeaac2f540c998c8ae3e4b18440f7c45,0,0.0055368327309709125,2166,0,2166,0.0,8
0x01716102b6ea467289897effc84cf136bd0b6c32,0,3.0896986851388008e-06,111,0,111,0.0,2
0x017f86b90a46d8fd999eaefda1339355b98da12f,1,5.6890904928286025e-06,1,0,1,0.0,1
0x3205f4a9f1246eba7618ce4bdc60a1716eab3fca,0,6.824415825998996e-05,411,623,1034,0.00015925680159256802,15
0x01889bfb1bd897ff4f23cb25f9dde7b3a012dbca,0,3.261404064691239e-06,2,0,2,0.0,1
0x018b9224ee3f8f362f553835d27da391fc5af9d9,0,5.6890904928286025e-06,2,1,3,0.0,2
0x018f2f4b3c9e38607aa7ab4dea23e9d663e3e050,1,5.7637735340472014e-06,2,0,2,0.0,1
0x019444358934627777f19f0cc121f5fc00e7bab8,0,3.1119815136390116e-06,283,157,440,0.0,4
